id,name,lat,lon,satellite_view mapbox,dominant_orchidee_pft,orchidee_frac,dominant_generic_pft,generic_pft_frac,confidence_flag,quality_flag_obs_model,soil_type,remarques,sources,dataset,year_fluxnet2007,year_fluxnet2015,year_plumber2,year_sifmip2,year_warmwinter2020,igbp (from orchidas site list),years_amf_base,,,years_amf_fluxnet
AR-SLu,San Luis,-33.464800,-66.459800,N/A,PFT02,"PFT2(0.6), PFT11(0.3), PFT14(0.1)",TrBrEv,"TrBrEv(0.60), NatGrC4(0.30), NatGrC3(0.10)",B,D3,N/A,"Mixed forests of Prosopis flexuosa and Aspidos-perma quebracho blanco predominate in the region with an important shrub layer formed by species of the genus Larrea, Lycium and Condalia. The predominant grasses in the area are Aristida mendocina, Trichloris crinita and Pappophorum caespitosum among others. // MF // Unaffiliated // dominated by trees which coexist with bush
and herbaceous strata",https://www.aet.org.es/revistas/revista31/Numero31_8.pdf & https://fluxnet.org/sites/siteinfo/AR-SLu & https://www.researchgate.net/publication/305000785_Analysis_and_modelling_of_turbulent_fluxes_in_two_different_ecosystems_in_Argentina,fluxnet2015,N/A,2009-2011,2010-2010,N/A,N/A,MF,,,,
AR-Vir,Virasoro,-28.239500,-56.188600,N/A,PFT04,"PFT4(0.95), PFT10(0.05)",TrNeEv,"TrNeEv(0.95), NatGrC3(0.05)",B,C4,N/A,ENF / Inactive Site,https://fluxnet.org/sites/siteinfo/AR-Vir,fluxnet2015,N/A,2009-2012,N/A,N/A,N/A,ENF,,,,
AT-Neu,Neustift,47.116700,11.317500,N/A,PFT15,PFT15(1.00),NatGrC3,NatGrC3(1.00),A,A3,N/A,GRA,http://www.europe-fluxdata.eu/home/site-details?id=AT-Neu & https://fluxnet.org/sites/siteinfo/AT-Neu,"fluxnet2007, fluxnet2015",2002-2004,2002-2012,2002-2012,N/A,N/A,GRA,,,,
AU-Ade,Trebon (CZECHWET),-13.076900,131.117800,N/A,PFT02,"PFT2(0.6), PFT11(0.3), PFT1(0.1)",TrBrEv,"TrBrEv(0.60), NatGrC4(0.30), BS(0.10)",B,C3,N/A,"Eucalyptus tectifica and Planchonia careya / Tropical savannas / Inactive Site / IBRA: PCK / Woodland savanna on shallow loamy sand (hydrolsol) with low level grazing pressure, fire frequency 1 in 3 years",https://ozflux.org.au/monitoringsites/adelaideriver/adelaideriver_description.html  https://www.researchgate.net/publication/309558727_An_introduction_to_the_Australian_and_New_Zealand_flux_tower_network_-_OzFlux,fluxnet2015,N/A,2007-2009,N/A,N/A,N/A,WSA,,,,
AU-ASM,Alice Springs,-22.283000,133.249000,N/A,PFT04,"PFT4(0.7), PFT11(0.2), PFT1(0.1)",ShNeEv,"ShNeEv(0.70), NatGrC4(0.20), BS(0.10)",B,B3,N/A,Acacia aneur / Deserts and xeric shrublands / IBRA: BRT / Pine Hill cattle station. Cattle grazing in low numbers has continued for decades,https://ozflux.org.au/monitoringsites/alicesprings/alicesprings_description.html https://www.researchgate.net/publication/309558727_An_introduction_to_the_Australian_and_New_Zealand_flux_tower_network_-_OzFlux,fluxnet2015,N/A,2010-2013,2011-2017,N/A,N/A,SAV,,,,
AU-Cpr,Calperum,-34.002100,140.589100,N/A,PFT05,"PFT5(0.4), PFT10(0.4), PFT1(0.2)",NatGrC3,"NatGrC3(0.40), ShBrEv(0.40), BS(0.20)",B,B3,N/A,"mallee (multi-stemmed Eucalypt trees) and various shrub / Mediterranean woodlands / IBRA: MDD / Multi-stemmed, 3-5m high eucalypt trees centred 2-4m apart with limited mid-story species, extensive perennial spinifex and occasional annual grasses. Regrowth of trees after fire ~ 35years ago with sheep grazing ceased in 1994. Site burned by wildfire in January 2014 and regrowth now occurring.",https://ozflux.org.au/monitoringsites/calperum/calperum_description.html https://www.researchgate.net/publication/309558727_An_introduction_to_the_Australian_and_New_Zealand_flux_tower_network_-_OzFlux,fluxnet2015,N/A,2010-2014,2011-2017,N/A,N/A,SAV,,,,
AU-Cum,Cumberland Plain,-33.615200,150.723600,N/A,PFT05,"PFT5(0.85),PFT10(0.15)",TrBrEv,"TrBrEv(0.85), NatGrC3(0.15)",A,B3,N/A,dominated by Eucalyptus moluccana and Eucalyptus fibrosa / Temperate woodlands / IBRA: SYB / Not been managed but is a remnant woodland at the urban-wildland interface,https://ozflux.org.au/monitoringsites/cumberlandplain/cumberlandplain_description.html https://www.researchgate.net/publication/309558727_An_introduction_to_the_Australian_and_New_Zealand_flux_tower_network_-_OzFlux,fluxnet2015,N/A,2012-2014,2013-2018,N/A,N/A,EBF,,,,
AU-DaP,Daly River Pasture,-14.063300,131.318100,N/A,PFT11,"PFT11(0.95), PFT13(0.05)",NatGrC4,"NatGrC4(0.95), CropsC4(0.05)",B,B3,N/A,"Chamaecrista rotundifolia (Round-leaf cassia cv. Wynn), Digitaria milijiana (Jarra grass) and Aristida sp. / Tropical pasture / Inactive Site / IBRA: DAB / Tropical improved pasture (C4 grass and legume mixture), cleared 1982, low grazing pressure (~1 head ha -1 ), fire 1 in 5 years.",https://ozflux.org.au/monitoringsites/dalypasture/dalypasture_description.html & https://fluxnet.org/sites/siteinfo/AU-DaP & https://www.researchgate.net/publication/309558727_An_introduction_to_the_Australian_and_New_Zealand_flux_tower_network_-_OzFlux ,fluxnet2015,N/A,2007-2013,2009-2012,N/A,N/A,GRA,,,,
AU-DaS,Daly River Uncleared,-14.159300,131.388100,N/A,PFT02,"PFT2(0.5), PFT11(0.4), PFT1(0.1)",TrBrEv,"TrBrEv(0.50), NatGrC4(0.40), BS(0.10)",B,A3,N/A,"co dominated by tree species E. tetrodonta, C. latifolia, Terminalia grandiflora, Sorghum sp. and Heteropogon triticeus / Récent feu ? / Tropical savannas / IBRA: DAB / Woodland savanna on deep sandy loam soils (kandosol), native pasture grazing, very low grazing pressure (~0.1
head ha -1 ), fire 1 in 5 year",https://ozflux.org.au/monitoringsites/dalyuncleared/dalyuncleared_description.html https://www.researchgate.net/publication/309558727_An_introduction_to_the_Australian_and_New_Zealand_flux_tower_network_-_OzFlux,fluxnet2015,N/A,2008-2014,2010-2017,N/A,N/A,SAV,,,,
AU-Dry,Dry River,-15.258800,132.370600,N/A,PFT02,"PFT2(0.6), PFT11(0.4)",TrBrEv,"TrBrEv(0.60), NatGrC4(0.40)",B,B4,N/A,"E. tetrodonta, E. dichromophloia, C. terminalis, Sorghum intrans, S. plumosum, Themeda triandra and Chrysopogon fallax, with canopy height averaging 12.3m./Tropical savannas / IBRA: STU / Woodland savanna on sandy loam soils, native pasture grazing, low grazing pressure (~0.5 head ha-1), fire 1 in
8 years.",https://ozflux.org.au/monitoringsites/dryriver/dryriver_description.html https://www.researchgate.net/publication/309558727_An_introduction_to_the_Australian_and_New_Zealand_flux_tower_network_-_OzFlux,fluxnet2015,N/A,2008-2014,2011-2015,N/A,N/A,SAV,,,,
